creator,video_order,publish_date,title,content_type,views,days_since_upload,views_per_day,creator_median_vpd,ratio,state,action_group,is_high,next_state,next_is_high
Joeman,9,2026-03-05,我使用了S26 Ultra一週！實測防窺螢幕、效能跟拍照！【Joeman】,科技,153383,107,1433.4859813084113,6336.066312997347,0.2262422630217525,Low,Review/Tech,0,Normal,0.0
Joeman,10,2026-03-06,一晚3萬元！新加坡金沙酒店體驗！世界最大無邊際泳池！【Joeman】,旅遊,864483,106,8155.5,6336.066312997347,1.287155089155301,Normal,Travel/Experience,0,Low,0.0
Joeman,11,2026-03-09,iPhone 17e全台首開！最便宜的iPhone適合你嗎？開箱實測！【Joeman】,科技,348609,103,3384.5533980582522,6336.066312997347,0.5341726602695784,Low,Review/Tech,0,Normal,0.0
Joeman,12,2026-03-12,為了蘋果，重回對岸！36小時上海快閃！【Joeman】,旅遊,501127,100,5011.27,6336.066312997347,0.7909118611527541,Normal,Travel/Experience,0,Normal,0.0
Joeman,13,2026-03-20,IG、抖音跟Threads是如何傷害我們的？網路成癮要怎麼辦？多巴胺國度、失控的焦慮世代、社群帝國那些人心得分享【九讀】ep2【Joeman】,雜談,428461,92,4657.184782608696,6336.066312997347,0.7350277842034709,Normal,Talk/Topic,0,Low,0.0
Joeman,14,2026-03-24,全球缺貨的Macbook Neo開箱實測！真的是性價比之王？【Joeman】,科技,351580,88,3995.2272727272725,6336.066312997347,0.630553260550912,Low,Review/Tech,0,Low,0.0
Joeman,15,2026-03-25,挑戰一週不喝咖啡！會有戒斷反應嗎？【Joeman】,雜談,267283,87,3072.2183908045977,6336.066312997347,0.48487787833004076,Low,Talk/Topic,0,Normal,0.0
Joeman,16,2026-03-26,新加坡獨旅吃播😋咖椰吐司、肉骨茶、椰漿飯、椰奶冰沙、蝦麵、香格里拉飯店【Joeman】,旅遊,629596,86,7320.883720930233,6336.066312997347,1.1554304136484024,Normal,Travel/Experience,0,Low,0.0
Joeman,17,2026-03-30,強的可怕！開著2000萬的新世代小牛下賽道！Lamborghini Temerario 試駕開箱！【Joeman】,科技,207493,82,2530.4024390243903,6336.066312997347,0.3993648920362001,Low,Review/Tech,0,Low,0.0
Joeman,18,2026-03-31,真實體驗每個月都做雷射+外泌體！什麼是外泌體？【Joeman】,醫美,115255,81,1422.9012345679012,6336.066312997347,0.22457170810366436,Low,Lifestyle/Other,0,Hit,1.0
Joeman,19,2026-04-09,來去Joeman家住一晚！體驗我下班後的人生【Joeman】,雜談,1446949,72,20096.51388888889,6336.066312997347,3.1717650820137973,Hit,Talk/Topic,1,Low,0.0
