creator,video_order,publish_date,title,content_type,views
多米多羅,6,2025-11-07,不忍了!跟知名饒舌歌手宣戰!‪@gummybbbb‬,雜談,270185
多米多羅,7,2025-11-14,台灣女僕咖啡廳開在東京⁈日文警察出動！,旅遊,326149
多米多羅,8,2025-11-21,網路酸民突擊走鐘獎典禮!遇到大咖網紅卻變俗辣!?,雜談,444963
多米多羅,9,2025-11-28,網紅出書難看到哭!? 公審油土伯們的著作2！,雜談,720438
多米多羅,10,2025-12-05,台灣人最愛的東京美食根本難吃？日本網紅實際走訪排爆名店！,美食,425676
多米多羅,11,2025-12-06,台灣的中國小紅書用戶由我來拯救！,雜談,185483
多米多羅,12,2025-12-12,單獨闖進東京最恐靈異景點!結果真的出現了⁈,旅遊,143189
多米多羅,13,2025-12-19,日本人受不了台灣？台媒亂用日文引發國際笑話！國際典禮大翻車現場曝光！,雜談,252728
多米多羅,14,2025-12-26,去動漫餐廳結果被當盤子？公審日本四家爆紅動漫餐廳！咒術迴戰 吉伊卡哇 藍色監獄 新世紀福音戰士,美食,272251
多米多羅,15,2026-01-02,為什麼Threads上的台灣人這麼自卑?到底有什麼毛病啊!,雜談,447368
多米多羅,16,2026-01-09,臭宅男第一次開車會出事嗎?獨旅拜訪住東京七年才知道的最深度景點!,旅遊,177430
多米多羅,17,2026-01-10,被嘲笑的李多慧跟韓國啦啦隊由我來拯救!!薩泰爾又出事⁈,雜談,256859
多米多羅,18,2026-01-16,在日本念大學四年 我沒有任何朋友,雜談,324432
多米多羅,19,2026-01-23,Threads上的台灣人根本丟臉?日文警察出動!!,雜談,230041
多米多羅,20,2026-01-30,台灣網紅推薦的東京美食真的好吃嗎？公審外國觀光客爆排店！,美食,468018
多米多羅,21,2026-02-06,難看到大炎上!?盤點 5 部讓漫畫迷崩潰的糞作!,漫畫,301227
多米多羅,22,2026-02-13,台灣人去中國人禁止店會被趕出去嗎?突襲小粉紅討厭的東京餐廳!!!,美食,414109
多米多羅,23,2026-02-20,人氣網紅在IG被粉絲騷擾 QA辛酸場面曝光,雜談,258520
多米多羅,24,2026-02-27,日本觀光地怎麼這麼多台灣人啊！到底有什麼毛病啊！,旅遊,249577
多米多羅,25,2026-03-06,人氣網紅開的飲料店真的好喝嗎?公審toyz、滴妹、丁特手搖店!,雜談,358107
多米多羅,26,2026-03-13,人氣網紅出書內容超沒營養？公審明星油土伯的作品3！,雜談,710653
多米多羅,27,2026-03-20,東京最大的魚市場淪為宰觀光客區？實際走訪被罵爆的築地場外市場！,旅遊,299407
多米多羅,28,2026-03-27,台灣大企業糟蹋動漫產業⁉︎日文警察出動！,漫畫,250353
